code,disciplineId,userId,dayId,hourId,turnId,calendarID
2025.1 - LMT - S2,220,83,3,1,1,1
2025.1 - BEE - S2,61,91,3,1,1,1
2025.1 - IET - S2,123,90,3,2,1,1
2024.1 - IET - S4,347,69,3,2,1,1
2023.1 - IET - S6,419,85,3,2,1,1
2025.1 - IIF - S2,389,89,3,2,1,1
2024.1 - IIF - S4,21,70,3,2,1,1
2023.1 - IIF - S6 - A,396,105,3,2,1,1
2023.1 - IIF - S6 - B,376,73,3,2,1,1
2025.1 - IMI - S2,21,67,3,2,1,1
2024.1 - IMI - S4,355,50,3,2,1,1
2023.1 - IMI - S6,152,29,3,2,1,1
2025.2 - BEM - S1,121,87,3,2,1,1
2024.2 - BEM - S3,64,55,3,2,1,1
2025.1 - LMT - S2,223,96,3,2,1,1
2025.1 - BEE - S2,61,91,3,2,1,1
2025.1 - IET - S2,197,52,3,3,1,1
2024.1 - IET - S4,352,97,3,3,1,1
2023.1 - IET - S6,381,53,3,3,1,1
2025.1 - IIF - S2,58,70,3,3,1,1
2024.1 - IIF - S4,393,105,3,3,1,1
2023.1 - IIF - S6 - A,371,69,3,3,1,1
2023.1 - IIF - S6 - B,376,73,3,3,1,1
2025.1 - IMI - S2,125,100,3,3,1,1
2024.1 - IMI - S4,354,46,3,3,1,1
2023.1 - IMI - S6,378,92,3,3,1,1
2025.2 - BEM - S1,60,90,3,3,1,1
2024.2 - BEM - S3,65,95,3,3,1,1
2025.1 - LMT - S2,222,31,3,3,1,1
2025.1 - BEE - S2,21,80,3,3,1,1
2025.1 - IET - S2,197,52,3,4,1,1
2023.1 - IET - S6,381,53,3,4,1,1
2025.1 - IIF - S2,58,70,3,4,1,1
2024.1 - IIF - S4,393,105,3,4,1,1
2023.1 - IIF - S6 - B,378,92,3,4,1,1
2025.1 - IMI - S2,126,100,3,4,1,1
2025.2 - BEM - S1,60,90,3,4,1,1
2024.2 - BEM - S3,65,95,3,4,1,1
2025.1 - LMT - S2,222,31,3,4,1,1
2025.1 - BEE - S2,21,80,3,4,1,1
2024.1 - IET - S4,354,56,4,1,1,1
2023.1 - IET - S6,383,39,4,1,1,1
2025.1 - IIF - S2,324,50,4,1,1,1
2024.1 - IIF - S4,356,87,4,1,1,1
2023.1 - IIF - S6 - A,394,70,4,1,1,1
2023.1 - IIF - S6 - B,396,93,4,1,1,1
2025.1 - IMI - S2,324,65,4,1,1,1
2024.1 - IMI - S4,348,68,4,1,1,1
2023.1 - IMI - S6,371,69,4,1,1,1
2025.2 - BEM - S1,1,34,4,1,1,1
2024.2 - BEM - S3,129,41,4,1,1,1
2025.1 - LMT - S2,5,25,4,1,1,1
2025.1 - BEE - S2,63,79,4,1,1,1
2025.1 - IET - S2,318,68,4,2,1,1
2024.1 - IET - S4,354,56,4,2,1,1
2023.1 - IET - S6,383,39,4,2,1,1
2025.1 - IIF - S2,324,50,4,2,1,1
2024.1 - IIF - S4,356,87,4,2,1,1
2023.1 - IIF - S6 - A,394,70,4,2,1,1
2023.1 - IIF - S6 - B,396,93,4,2,1,1
2025.1 - IMI - S2,324,65,4,2,1,1
2024.1 - IMI - S4,73,60,4,2,1,1
2023.1 - IMI - S6,376,28,4,2,1,1
2025.2 - BEM - S1,1,34,4,2,1,1
2024.2 - BEM - S3,129,41,4,2,1,1
2025.1 - LMT - S2,5,25,4,2,1,1
2025.1 - BEE - S2,63,79,4,2,1,1
2025.1 - IET - S2,324,50,4,3,1,1
2024.1 - IET - S4,355,65,4,3,1,1
2023.1 - IET - S6,376,25,4,3,1,1
2025.1 - IIF - S2,58,70,4,3,1,1
2024.1 - IIF - S4,392,80,4,3,1,1
2023.1 - IIF - S6 - A,376,34,4,3,1,1
2025.1 - IMI - S2,316,22,4,3,1,1
2024.1 - IMI - S4,354,46,4,3,1,1
2023.1 - IMI - S6,377,96,4,3,1,1
2025.2 - BEM - S1,121,87,4,3,1,1
2024.2 - BEM - S3,124,106,4,3,1,1
2025.1 - LMT - S2,221,56,4,3,1,1
2025.1 - BEE - S2,62,88,4,3,1,1
2025.1 - IET - S2,324,50,4,4,1,1
2024.1 - IET - S4,355,65,4,4,1,1
2023.1 - IET - S6,376,25,4,4,1,1
2025.1 - IIF - S2,58,70,4,4,1,1
2024.1 - IIF - S4,392,80,4,4,1,1
2023.1 - IIF - S6 - A,376,34,4,4,1,1
2025.1 - IMI - S2,316,22,4,4,1,1
2024.1 - IMI - S4,354,46,4,4,1,1
2023.1 - IMI - S6,377,96,4,4,1,1
2025.2 - BEM - S1,121,87,4,4,1,1
2024.2 - BEM - S3,124,106,4,4,1,1
2025.1 - LMT - S2,221,56,4,4,1,1
2025.1 - BEE - S2,62,88,4,4,1,1
2025.1 - IET - S2,325,87,5,1,1,1
2024.1 - IET - S4,63,51,5,1,1,1
2025.1 - IIF - S2,318,68,5,1,1,1
2024.1 - IIF - S4,355,65,5,1,1,1
2023.1 - IIF - S6 - A,394,70,5,1,1,1
2023.1 - IIF - S6 - B,377,50,5,1,1,1
2025.1 - IMI - S2,323,46,5,1,1,1
2024.1 - IMI - S4,347,69,5,1,1,1
2023.1 - IMI - S6,372,43,5,1,1,1
2025.2 - BEM - S1,1,34,5,1,1,1
2024.2 - BEM - S3,124,106,5,1,1,1
2025.1 - LMT - S2,221,56,5,1,1,1
2025.1 - BEE - S2,21,80,5,1,1,1
2025.1 - IET - S2,325,87,5,2,1,1
2024.1 - IET - S4,63,51,5,2,1,1
2023.1 - IET - S6,419,85,5,2,1,1
2024.1 - IIF - S4,348,68,5,2,1,1
2023.1 - IIF - S6 - A,394,70,5,2,1,1
2023.1 - IIF - S6 - B,377,50,5,2,1,1
2025.1 - IMI - S2,323,46,5,2,1,1
2024.1 - IMI - S4,347,69,5,2,1,1
2023.1 - IMI - S6,372,43,5,2,1,1
2025.2 - BEM - S1,1,34,5,2,1,1
2024.2 - BEM - S3,124,106,5,2,1,1
2025.1 - LMT - S2,221,56,5,2,1,1
2025.1 - BEE - S2,21,80,5,2,1,1
2025.1 - IET - S2,324,50,5,3,1,1
2024.1 - IET - S4,355,65,5,3,1,1
2023.1 - IET - S6,422,77,5,3,1,1
2025.1 - IIF - S2,323,56,5,3,1,1
2024.1 - IIF - S4,21,70,5,3,1,1
2023.1 - IIF - S6 - A,376,34,5,3,1,1
2023.1 - IIF - S6 - B,396,93,5,3,1,1
2025.1 - IMI - S2,197,52,5,3,1,1
2024.1 - IMI - S4,356,87,5,3,1,1
2023.1 - IMI - S6,402,85,5,3,1,1
2025.2 - BEM - S1,58,20,5,3,1,1
2024.2 - BEM - S3,65,95,5,3,1,1
2025.1 - LMT - S2,223,96,5,3,1,1
2025.1 - BEE - S2,62,88,5,3,1,1
2025.1 - IET - S2,323,34,5,4,1,1
2024.1 - IET - S4,354,56,5,4,1,1
2025.1 - IIF - S2,324,50,5,4,1,1
2024.1 - IIF - S4,21,70,5,4,1,1
2023.1 - IIF - S6 - B,396,93,5,4,1,1
2025.1 - IMI - S2,197,52,5,4,1,1
2024.1 - IMI - S4,356,87,5,4,1,1
2023.1 - IMI - S6,402,85,5,4,1,1
2025.2 - BEM - S1,58,20,5,4,1,1
2024.2 - BEM - S3,65,95,5,4,1,1
2025.1 - LMT - S2,223,96,5,4,1,1
2025.1 - BEE - S2,62,88,5,4,1,1
2023.1 - IET - S6,422,77,1,5,2,1
2025.1 - IIF - S2,322,97,1,5,2,1
2024.1 - IMI - S4,340,67,1,5,2,1
2023.1 - IMI - S6,403,37,1,5,2,1
2024.2 - CMI - S3,404,90,1,5,2,1
2024.1 - CMI - S4,397,29,1,5,2,1
2024.2 - CET - S3,417,66,1,5,2,1
2024.1 - CET - S4,421,48,1,5,2,1
2025.1 - LFS - S2,1,55,1,5,2,1
2023.1 - IET - S6,422,77,1,6,2,1
2025.1 - IIF - S2,321,38,1,6,2,1
2024.1 - IMI - S4,340,67,1,6,2,1
2023.1 - IMI - S6,403,37,1,6,2,1
2024.2 - CMI - S3,404,90,1,6,2,1
2024.1 - CMI - S4,397,29,1,6,2,1
2024.2 - CET - S3,417,66,1,6,2,1
2024.1 - CET - S4,421,48,1,6,2,1
2025.1 - LFS - S2,1,55,1,6,2,1
2023.1 - IET - S6,382,61,1,7,2,1
2025.1 - IIF - S2,325,92,1,7,2,1
2024.1 - IMI - S4,123,58,1,7,2,1
2023.1 - IMI - S6,373,38,1,7,2,1
2024.2 - CMI - S3,192,29,1,7,2,1
2024.1 - CMI - S4,401,37,1,7,2,1
2024.2 - CET - S3,417,66,1,7,2,1
2024.1 - CET - S4,172,62,1,7,2,1
2025.1 - LFS - S2,263,82,1,7,2,1
2023.1 - IET - S6,382,61,1,8,2,1
2025.1 - IIF - S2,325,92,1,8,2,1
2023.1 - IMI - S6,191,20,1,8,2,1
2024.2 - CMI - S3,192,29,1,8,2,1
2024.1 - CMI - S4,401,37,1,8,2,1
2024.2 - CET - S3,417,66,1,8,2,1
2024.1 - CET - S4,172,62,1,8,2,1
2025.1 - LFS - S2,263,82,1,8,2,1
2025.1 - IET - S2,21,67,2,5,2,1
2024.1 - IET - S4,177,57,2,5,2,1
2023.1 - IET - S6,374,97,2,5,2,1
2025.1 - IIF - S2,6,105,2,5,2,1
2024.1 - IIF - S4,123,58,2,5,2,1
2025.1 - IMI - S2,325,92,2,5,2,1
2024.1 - IMI - S4,398,29,2,5,2,1
2024.2 - CMI - S3,187,41,2,5,2,1
2024.1 - CMI - S4,191,20,2,5,2,1
2024.2 - CET - S3,368,61,2,5,2,1
2024.1 - CET - S4,383,32,2,5,2,1
2025.1 - LFS - S2,1,55,2,5,2,1
2025.1 - IET - S2,21,67,2,6,2,1
2024.1 - IET - S4,177,57,2,6,2,1
2023.1 - IET - S6,376,25,2,6,2,1
2025.1 - IIF - S2,6,105,2,6,2,1
2025.1 - IMI - S2,325,92,2,6,2,1
2024.1 - IMI - S4,352,97,2,6,2,1
2024.1 - SMI - S4,409,100,2,6,2,1
2024.2 - CMI - S3,187,41,2,6,2,1
2024.1 - CMI - S4,191,20,2,6,2,1
2024.2 - CET - S3,368,61,2,6,2,1
2024.1 - CET - S4,383,32,2,6,2,1
2025.1 - LFS - S2,1,55,2,6,2,1
2025.1 - IET - S2,321,38,2,7,2,1
2024.1 - IET - S4,340,19,2,7,2,1
2023.1 - IET - S6,381,53,2,7,2,1
2025.1 - IIF - S2,21,67,2,7,2,1
2024.1 - IIF - S4,349,27,2,7,2,1
2024.1 - IMI - S4,73,60,2,7,2,1
2024.1 - SMI - S4,409,100,2,7,2,1
2024.2 - CMI - S3,192,29,2,7,2,1
2024.1 - CMI - S4,401,37,2,7,2,1
2024.2 - CET - S3,416,39,2,7,2,1
2024.1 - CET - S4,422,77,2,7,2,1
2025.1 - LFS - S2,236,76,2,7,2,1
2024.1 - IET - S4,340,19,2,8,2,1
2023.1 - IET - S6,381,53,2,8,2,1
2025.1 - IIF - S2,21,67,2,8,2,1
2024.1 - IIF - S4,349,27,2,8,2,1
2024.1 - IMI - S4,73,60,2,8,2,1
2024.1 - SMI - S4,409,100,2,8,2,1
2024.2 - CMI - S3,192,29,2,8,2,1
2024.1 - CMI - S4,401,37,2,8,2,1
2024.2 - CET - S3,416,39,2,8,2,1
2024.1 - CET - S4,422,77,2,8,2,1
2025.1 - LFS - S2,236,76,2,8,2,1
2025.1 - IET - S2,323,34,3,5,2,1
2023.1 - IET - S6,383,39,3,5,2,1
2023.1 - IIF - S6 - A,374,97,3,5,2,1
2023.1 - IIF - S6 - B,394,105,3,5,2,1
2024.1 - SMI - S4,352,98,3,5,2,1
2024.2 - CMI - S3,443,100,3,5,2,1
2024.1 - CMI - S4,397,29,3,5,2,1
2024.2 - CET - S3,402,85,3,5,2,1
2024.1 - CET - S4,397,61,3,5,2,1
2025.1 - LFS - S2,236,76,3,5,2,1
2025.1 - IET - S2,323,34,3,6,2,1
2023.1 - IET - S6,383,39,3,6,2,1
2023.1 - IIF - S6 - A,378,87,3,6,2,1
2023.1 - IIF - S6 - B,394,105,3,6,2,1
2024.1 - SMI - S4,352,98,3,6,2,1
2024.2 - CMI - S3,443,100,3,6,2,1
2024.1 - CMI - S4,397,29,3,6,2,1
2024.2 - CET - S3,402,85,3,6,2,1
2024.1 - CET - S4,397,61,3,6,2,1
2025.1 - LFS - S2,236,76,3,6,2,1
2023.1 - IET - S6,371,69,3,7,2,1
2024.1 - SMI - S4,405,51,3,7,2,1
2024.2 - CMI - S3,402,85,3,7,2,1
2024.1 - CMI - S4,153,98,3,7,2,1
2024.2 - CET - S3,368,61,3,7,2,1
2024.1 - CET - S4,383,32,3,7,2,1
2025.1 - LFS - S2,262,101,3,7,2,1
2024.2 - CMI - S3,402,85,3,8,2,1
2024.1 - CMI - S4,153,98,3,8,2,1
2024.1 - CET - S4,422,77,3,8,2,1
2025.1 - LFS - S2,262,101,3,8,2,1
2024.1 - IET - S4,414,79,4,5,2,1
2023.1 - IET - S6,377,96,4,5,2,1
2025.1 - IIF - S2,389,89,4,5,2,1
2024.1 - IIF - S4,354,34,4,5,2,1
2025.1 - IMI - S2,323,46,4,5,2,1
2024.1 - IMI - S4,399,33,4,5,2,1
2023.1 - IMI - S6,376,28,4,5,2,1
2024.2 - CMI - S3,187,41,4,5,2,1
2024.1 - CMI - S4,158,98,4,5,2,1
2024.2 - CET - S3,402,85,4,5,2,1
2024.1 - CET - S4,397,61,4,5,2,1
2025.1 - LFS - S2,262,101,4,5,2,1
2024.1 - IET - S4,414,79,4,6,2,1
2023.1 - IET - S6,377,96,4,6,2,1
2025.1 - IIF - S2,389,89,4,6,2,1
2024.1 - IIF - S4,354,34,4,6,2,1
2025.1 - IMI - S2,318,68,4,6,2,1
2024.1 - IMI - S4,399,33,4,6,2,1
2023.1 - IMI - S6,376,28,4,6,2,1
2024.2 - CMI - S3,187,41,4,6,2,1
2024.1 - CMI - S4,158,98,4,6,2,1
2024.2 - CET - S3,402,85,4,6,2,1
2024.1 - CET - S4,397,61,4,6,2,1
2025.1 - LFS - S2,262,101,4,6,2,1
2024.1 - IET - S4,348,68,4,7,2,1
2023.1 - IET - S6,378,87,4,7,2,1
2025.1 - IIF - S2,323,56,4,7,2,1
2024.1 - IIF - S4,347,69,4,7,2,1
2025.1 - IMI - S2,324,65,4,7,2,1
2024.1 - IMI - S4,355,50,4,7,2,1
2024.2 - CMI - S3,178,100,4,7,2,1
2024.1 - CMI - S4,442,33,4,7,2,1
2024.2 - CET - S3,419,85,4,7,2,1
2024.1 - CET - S4,382,39,4,7,2,1
2025.1 - LFS - S2,265,96,4,7,2,1
2025.1 - IIF - S2,323,56,4,8,2,1
2024.1 - IIF - S4,347,69,4,8,2,1
2024.2 - CMI - S3,178,100,4,8,2,1
2024.1 - CMI - S4,442,33,4,8,2,1
2024.2 - CET - S3,419,85,4,8,2,1
2024.1 - CET - S4,382,39,4,8,2,1
2025.1 - LFS - S2,265,96,4,8,2,1
2024.1 - IET - S4,356,87,5,5,2,1
2024.1 - IIF - S4,392,80,5,5,2,1
2024.1 - SMI - S4,158,98,5,5,2,1
2025.1 - LFS - S2,264,88,5,5,2,1
2024.1 - IET - S4,356,87,5,6,2,1
2024.1 - IIF - S4,392,80,5,6,2,1
2024.1 - SMI - S4,158,98,5,6,2,1
2025.1 - LFS - S2,264,88,5,6,2,1
2024.1 - IIF - S4,354,34,5,7,2,1
2024.1 - SMI - S4,405,51,5,7,2,1
2025.1 - LFS - S2,265,96,5,7,2,1
2024.1 - SMI - S4,405,51,5,8,2,1
2025.1 - LFS - S2,265,96,5,8,2,1
2025.2 - SAD - S1,423,65,1,9,3,1
2025.1 - SAD - S2,432,91,1,9,3,1
2025.1 - EJA - S2,123,37,1,9,3,1
2024.1 - EJA - S4,349,99,1,9,3,1
2025.2 - LFS - S1,254,81,1,9,3,1
2024.2 - LFS - S3,270,102,1,9,3,1
2025.2 - BSI - S1,4,19,1,9,3,1
2025.1 - TMC - S2,73,41,1,9,3,1
2025.2 - LMT - S1,218,58,1,9,3,1
2024.2 - LMT - S3,227,83,1,9,3,1
2025.2 - SAD - S1,423,65,1,10,3,1
2025.1 - SAD - S2,432,91,1,10,3,1
2025.1 - EJA - S2,123,37,1,10,3,1
2024.1 - EJA - S4,349,99,1,10,3,1
2025.2 - LFS - S1,254,81,1,10,3,1
2024.2 - LFS - S3,270,102,1,10,3,1
2025.2 - BSI - S1,4,19,1,10,3,1
2025.1 - TMC - S2,73,41,1,10,3,1
2025.2 - LMT - S1,218,58,1,10,3,1
2024.2 - LMT - S3,227,83,1,10,3,1
2025.2 - SAD - S1,427,91,1,11,3,1
2025.1 - SAD - S2,429,42,1,11,3,1
2025.1 - EJA - S2,322,97,1,11,3,1
2024.1 - EJA - S4,326,58,1,11,3,1
2025.2 - LFS - S1,256,99,1,11,3,1
2024.2 - LFS - S3,269,104,1,11,3,1
2025.2 - BSI - S1,2,26,1,11,3,1
2025.1 - TMC - S2,175,81,1,11,3,1
2025.2 - LMT - S1,215,31,1,11,3,1
2024.2 - LMT - S3,228,76,1,11,3,1
2025.2 - SAD - S1,427,91,1,12,3,1
2025.1 - SAD - S2,429,42,1,12,3,1
2025.1 - EJA - S2,325,92,1,12,3,1
2024.1 - EJA - S4,352,97,1,12,3,1
2025.2 - LFS - S1,256,99,1,12,3,1
2024.2 - LFS - S3,269,104,1,12,3,1
2025.2 - BSI - S1,2,26,1,12,3,1
2025.1 - TMC - S2,175,81,1,12,3,1
2025.2 - LMT - S1,215,31,1,12,3,1
2024.2 - LMT - S3,228,76,1,12,3,1
2025.2 - SAD - S1,4,19,2,9,3,1
2025.1 - SAD - S2,434,42,2,9,3,1
2025.1 - EJA - S2,320,99,2,9,3,1
2024.1 - EJA - S4,356,92,2,9,3,1
2025.2 - LFS - S1,8,95,2,9,3,1
2024.2 - LFS - S3,268,82,2,9,3,1
2025.2 - BSI - S1,6,105,2,9,3,1
2025.1 - TMC - S2,73,41,2,9,3,1
2025.2 - LMT - S1,215,31,2,9,3,1
2024.2 - LMT - S3,1,28,2,9,3,1
2025.2 - SAD - S1,4,19,2,10,3,1
2025.1 - SAD - S2,434,42,2,10,3,1
2025.1 - EJA - S2,320,99,2,10,3,1
2024.1 - EJA - S4,347,104,2,10,3,1
2025.2 - LFS - S1,8,95,2,10,3,1
2024.2 - LFS - S3,268,82,2,10,3,1
2025.2 - BSI - S1,6,105,2,10,3,1
2025.1 - TMC - S2,73,41,2,10,3,1
2025.2 - LMT - S1,215,31,2,10,3,1
2024.2 - LMT - S3,1,28,2,10,3,1
2025.2 - SAD - S1,425,52,2,11,3,1
2025.1 - SAD - S2,433,42,2,11,3,1
2025.1 - EJA - S2,386,39,2,11,3,1
2024.1 - EJA - S4,354,99,2,11,3,1
2025.2 - LFS - S1,257,26,2,11,3,1
2024.2 - LFS - S3,4,19,2,11,3,1
2025.2 - BSI - S1,5,25,2,11,3,1
2025.1 - TMC - S2,175,95,2,11,3,1
2025.2 - LMT - S1,216,76,2,11,3,1
2024.2 - LMT - S3,227,83,2,11,3,1
2025.2 - SAD - S1,425,52,2,12,3,1
2025.1 - SAD - S2,433,42,2,12,3,1
2025.1 - EJA - S2,386,39,2,12,3,1
2024.1 - EJA - S4,354,99,2,12,3,1
2025.2 - LFS - S1,257,26,2,12,3,1
2024.2 - LFS - S3,4,19,2,12,3,1
2025.2 - BSI - S1,5,25,2,12,3,1
2025.1 - TMC - S2,175,95,2,12,3,1
2025.2 - LMT - S1,216,76,2,12,3,1
2024.2 - LMT - S3,227,83,2,12,3,1
2025.2 - SAD - S1,9,86,3,9,3,1
2025.1 - SAD - S2,435,42,3,9,3,1
2025.1 - EJA - S2,323,56,3,9,3,1
2024.1 - EJA - S4,348,68,3,9,3,1
2025.2 - LFS - S1,257,26,3,9,3,1
2024.2 - LFS - S3,268,82,3,9,3,1
2025.2 - BSI - S1,6,105,3,9,3,1
2025.1 - TMC - S2,301,62,3,9,3,1
2025.2 - LMT - S1,218,58,3,9,3,1
2024.2 - LMT - S3,225,90,3,9,3,1
2025.2 - SAD - S1,9,86,3,10,3,1
2025.1 - SAD - S2,435,42,3,10,3,1
2025.1 - EJA - S2,323,56,3,10,3,1
2024.1 - EJA - S4,350,38,3,10,3,1
2025.2 - LFS - S1,257,26,3,10,3,1
2024.2 - LFS - S3,268,82,3,10,3,1
2025.2 - BSI - S1,6,105,3,10,3,1
2025.1 - TMC - S2,301,62,3,10,3,1
2025.2 - LMT - S1,218,58,3,10,3,1
2024.2 - LMT - S3,225,90,3,10,3,1
2025.2 - SAD - S1,425,52,3,11,3,1
2025.1 - SAD - S2,431,86,3,11,3,1
2025.1 - EJA - S2,321,38,3,11,3,1
2024.1 - EJA - S4,63,94,3,11,3,1
2025.2 - LFS - S1,259,72,3,11,3,1
2024.2 - LFS - S3,270,102,3,11,3,1
2025.2 - BSI - S1,2,26,3,11,3,1
2025.1 - TMC - S2,301,62,3,11,3,1
2025.2 - LMT - S1,214,68,3,11,3,1
2024.2 - LMT - S3,226,46,3,11,3,1
2025.2 - SAD - S1,425,52,3,12,3,1
2025.1 - SAD - S2,431,86,3,12,3,1
2025.1 - EJA - S2,317,104,3,12,3,1
2024.1 - EJA - S4,63,94,3,12,3,1
2025.2 - LFS - S1,259,72,3,12,3,1
2024.2 - LFS - S3,270,102,3,12,3,1
2025.2 - BSI - S1,2,26,3,12,3,1
2025.1 - TMC - S2,301,62,3,12,3,1
2025.2 - LMT - S1,214,68,3,12,3,1
2024.2 - LMT - S3,226,46,3,12,3,1
2025.2 - SAD - S1,424,93,4,9,3,1
2025.1 - SAD - S2,430,52,4,9,3,1
2025.1 - EJA - S2,345,51,4,9,3,1
2024.1 - EJA - S4,355,96,4,9,3,1
